order_id,user_id,order_number,product_id
2938046,146750,5,22548
2618280,16297,5,48706
1042622,154001,57,32689
126935,94633,7,28204
1838451,112890,3,45948
1667869,193282,27,21137
1128774,3490,69,49212
1947607,190652,2,18352
3035909,82634,4,31573
3004432,30297,1,19678
1104351,74385,11,1695
597877,9031,4,3007
3158581,105695,6,28156
2140212,106879,9,48935
179505,127525,21,4731
2470063,125446,1,36107
1872409,139618,26,43409
2483862,5169,7,11707
441450,14790,3,14488
1968021,74400,3,48104
1232437,180077,13,21417
2644302,7718,13,17122
1988061,167269,2,27985
772850,46628,1,36399
2856354,62177,7,31651
3367361,164971,36,34126
1331954,183970,27,44085
2384135,117226,7,4086
1824753,54039,2,32831
2482874,121593,56,22105
2990620,10539,26,8075
2620222,185754,9,4471
2765534,102089,6,7018
172343,185385,7,13176
1019995,17063,2,17899
1664410,111923,38,4753
2522784,147074,10,49273
2295561,9303,13,8025
1860066,203390,7,14233
2056344,15972,29,8414
1061148,51121,59,20754
2988258,187184,1,30901
406955,114799,38,29598
2212568,156213,16,3298
2055354,78097,3,6740
2469154,118765,8,14947
3266496,117658,4,31635
303634,162674,3,29328
2385987,45092,7,9716
1188026,176351,14,15011
1312022,185527,11,31766
926058,97408,19,49683
1210046,176394,59,27845
778225,12899,51,5077
1972734,175876,21,18159
1004962,99904,5,24852
3044481,204405,26,1970
318455,133328,21,5421
425872,33024,15,5750
3136179,175409,6,5818
1351958,16971,13,23543
834124,38902,7,13829
2871962,133525,21,5586
766468,164329,8,13575
1513462,101225,7,24852
1070059,73099,33,23543
3408005,176072,9,22581
3391402,167372,4,49198
1474896,28825,24,24852
2720681,119825,48,39450
1788495,11715,11,47766
1862602,175024,31,35121
2836068,138204,14,11109
2736190,48664,40,27966
1737381,38861,8,17615
337521,196424,28,32299
1606264,129922,6,44632
49660,122651,18,35221
834363,151891,92,42445
748292,38122,20,45066
3365409,187111,19,48894
1260967,183048,19,20955
747802,41089,2,21903
234156,20744,35,47209
29155,198126,12,26209
1452188,91371,7,31663
822259,38454,22,6184
2719430,55999,16,27171
3099218,13096,12,40725
2069581,70754,5,9339
2030658,47403,8,5353
1166709,86671,15,28985
400241,202212,7,29996
1561324,185919,47,18811
979153,3536,26,28489
3379280,53920,3,25633
114723,106611,21,11100
2068544,68712,7,16759
1063369,7259,8,4487
2770963,3111,10,22282
1946636,122546,16,19660
161080,172736,20,46820
1042889,97083,4,49075
3220977,128078,23,24954
3082163,19253,30,7350
300681,87821,5,24964
2795576,112427,2,31040
2671938,181416,76,49683
2026585,56383,15,13166
1692168,105761,3,32981
2304251,27312,19,11281
2511535,116291,17,4210
3393314,62835,21,27086
1389030,125216,4,8424
3126272,9685,2,38988
3288900,136909,1,16683
2135318,200560,30,35168
89983,105968,14,35951
109646,185773,1,16556
1953002,127902,39,27966
2015742,168711,3,24799
1222825,200960,8,37067
160246,131655,3,46045
2309494,35742,3,36180
2804005,102297,3,36205
821968,193081,13,11737
1351469,62443,63,14211
1752943,151366,8,29941
2264183,133379,2,18531
2518395,23627,29,12576
3252836,19478,1,44706
1735129,165391,4,47890
3124183,172727,20,29628
157401,97882,17,32632
679600,33045,51,11512
2984698,188984,7,27966
3238169,26338,3,38689
2830986,20877,12,6187
3028669,134168,1,13198
3249091,181928,2,12916
193232,41180,13,26317
2738862,170700,35,26381
2491112,124129,12,32652
1017579,138634,17,13176
2874106,42193,44,43789
570487,40805,6,13064
905660,74361,5,21137
2127655,204060,34,14678
156843,187611,7,15777
409646,50722,4,22935
1462769,28827,9,24514
263611,51769,9,9444
1841234,50018,19,18339
2707651,180433,15,48857
2435079,39101,7,10978
2672794,77583,5,44683
3306863,5314,5,35221
2934751,146192,8,44142
176285,34955,18,39844
3058029,194241,8,32429
619111,93631,72,43961
1285428,1687,4,21137
3228678,53250,6,13249
2755349,32660,8,42486
3345710,65956,24,31648
902018,151511,29,40556
994816,18806,2,45870
1422216,126447,4,47209
3296129,95873,14,5223
1336292,169815,9,16953
1876646,108985,5,31683
2384557,147792,15,31717
1206786,26162,19,35628
1711866,152600,14,2295
1516040,167274,18,25476
318500,137865,3,4472
2898754,7191,38,48595
2393575,77419,21,21709
669063,77751,2,9825
3228786,76393,5,1695
188423,37177,6,9076
486043,95945,41,42093
1231836,94764,62,2120
253638,20809,4,25844
3336633,161448,2,30776
604621,156992,11,39116
293754,76984,3,25930
3088639,91718,8,22085
846175,16664,5,44136
1434470,74948,15,13176
3119716,137406,38,32299
1212965,187922,20,23909
1402635,61651,2,15466
1123414,40627,5,47780
2930511,23127,22,21506
883685,182748,45,47865
3077700,85803,5,44566
382008,183416,35,38293
2257358,72762,21,41544
1753921,148951,8,38777
846327,134505,28,9076
2642605,88599,8,13984
2353052,178768,2,42697
312238,113390,13,14372
1097797,116258,21,45007
2493064,184509,16,31343
2200036,162344,7,3298
464234,201092,8,11520
1349953,76758,5,28289
2657990,109769,9,21137
1494156,49282,9,39619
992815,141726,20,24852
2659255,132299,23,33198
1663672,9036,46,22151
1382075,104816,27,21137
1629220,134768,4,45204
2678093,69305,3,27750
3084966,2045,8,48637
158726,149099,22,27354
600857,46624,5,30123
2251446,161173,18,47766
2744015,192813,17,17334
2233124,5732,65,27156
1126149,47631,37,12979
3134963,100284,33,20899
136843,89395,16,33612
1995227,118111,2,28985
3114521,162173,1,24838
2703738,188414,26,12644
2800348,49951,13,18352
2062478,201806,6,22963
3419530,29955,5,17434
1552401,93197,21,17652
2933400,114682,10,40921
3048226,64862,4,11782
1343889,181757,14,13997
3341923,196967,4,44765
2190119,130407,3,31613
2897939,67256,11,36316
975355,40309,15,36606
2806290,100720,35,5077
112805,86309,17,15369
639721,87652,5,14414
1551280,25108,10,24852
704100,65971,33,19173
664156,192806,30,35021
1423339,29920,43,12779
2181128,95953,27,44201
589225,159406,5,26178
2189791,142053,4,26283
393963,144977,20,23909
1341138,170031,36,44359
555411,10291,15,35221
2554616,88437,10,33845
899675,110999,13,16570
99700,118737,37,46061
1436561,33031,11,24852
2072814,32207,4,37687
605622,40738,22,27156
2810185,49339,8,27966
1452748,204884,15,15950
1221574,8411,11,45066
1366371,20991,9,35815
780479,158604,19,13176
2532898,66881,67,35871
1131844,153730,16,27356
1958109,87541,12,32079
1355928,148393,1,43871
568653,26665,53,27521
224143,5159,10,42828
337326,162366,29,23531
490732,64512,89,46107
1240942,42234,29,39062
2944861,103323,10,47759
922950,73017,2,20246
678995,162366,27,32578
2851424,73160,2,4920
1026662,66793,3,24489
1027935,202754,20,43961
1996358,120844,27,24239
3209428,38686,19,19734
385181,15292,13,49416
1163945,104908,1,40945
1029320,86723,1,486
2706706,96617,8,43789
2700265,158898,40,25005
2359532,194459,1,16965
234730,206103,13,26384
3142267,178876,1,44819
257979,173075,8,13375
1193842,11614,6,38383
2586350,3350,10,24852
1555901,52282,4,27454
3389205,152895,2,48679
1846186,82742,8,18564
1007879,202371,63,17948
2025600,185732,2,33548
1882994,86331,4,35628
426620,128418,22,33000
2518677,36710,11,47692
1883279,127837,7,2078
3347263,177698,1,13083
893738,190956,12,31387
1492404,7503,16,30489
613789,89919,15,27695
2040345,82616,15,34668
1212085,38838,21,16915
1038395,33881,2,44310
2433537,103578,29,18523
798032,69078,2,10749
1690226,93469,7,21903
2614542,111415,3,14074
3293872,27495,2,8460
1487087,99802,45,47144
2814549,188227,3,63
1882550,70236,35,32299
123560,126436,16,2154
2516439,73569,31,32402
751203,149219,34,35045
2345004,147979,7,35894
1708361,98612,16,28383
266637,11001,29,5069
3011391,38755,42,24852
3250517,192734,41,37257
2654673,190295,20,10831
602187,194802,12,16953
808685,81818,7,40910
2206990,33057,22,26940
3067962,118068,34,27086
25019,48332,11,29646
1904988,91355,9,26209
1122994,15882,6,35547
1123174,63162,19,49215
1652956,64539,1,28464
306550,195143,9,26209
1798677,171080,4,41177
1229736,188,2,8671
392635,62702,5,29837
554466,31010,13,24852
1308021,70139,14,28745
1522106,200640,4,13176
3101200,147874,14,12576
709548,17154,21,35845
97169,62289,41,24852
2492182,62506,4,30574
3003732,108187,21,5212
2808155,122821,75,6375
3319403,106559,3,49131
925419,10572,3,33301
2340026,185919,53,7521
1627899,171018,30,24009
1848271,191445,13,40604
237225,8530,30,24053
97219,173946,7,1700
2482600,141583,11,23543
2462623,8973,13,35163
2916317,196729,15,27415
3203862,198548,33,44910
1046000,13648,8,36695
1510316,144502,13,48733
3139937,61451,8,35628
1628629,110219,5,2995
503266,116877,34,45002
2574233,52990,35,9058
2826120,618,27,38892
2500432,139511,19,41658
1667652,193202,3,45589
3019518,186354,3,13176
29661,189321,30,1700
885716,69022,58,26317
2983011,136207,7,33098
2974138,85247,5,32734
1312763,187718,11,17794
1681581,82824,23,13176
96456,197204,9,13506
2425915,187228,2,17794
2719961,60404,22,20114
1353691,167527,6,9018
2430430,206091,16,20323
3019507,144484,1,39928
1503654,94117,30,21137
2134558,37842,4,20114
1386794,115491,34,48168
739929,77044,11,19625
1192165,50092,39,13306
3152675,135490,8,6104
3243445,105274,4,21616
452568,17981,71,7704
895759,187399,3,43772
2614903,12222,8,4920
44102,12128,13,33810
2555834,57330,1,10895
2932544,79372,47,8193
1835250,185570,28,23291
463372,9577,8,39561
190176,202239,6,41950
2980282,171040,5,31960
213777,49339,11,48775
2073000,136340,1,7837
701314,186330,26,46667
1578776,123384,4,23347
371275,141838,3,44692
2232913,181154,25,8518
1184600,57914,2,10032
55873,90504,37,44860
1696271,120166,55,31553
2249217,89439,40,21137
1540917,182290,84,33043
679050,200434,66,8448
1740522,21221,3,48796
3896,132519,4,38313
3119258,51472,5,17720
591605,100001,25,17794
2855320,21036,1,47877
3252348,119257,12,519
77251,150677,40,46820
561558,73855,24,16254
406733,77589,22,44048
463471,167438,5,30396
3200588,29329,3,16953
3296159,171900,14,7987
725267,41580,49,22220
1430708,182890,10,24964
877923,114549,10,34969
62478,50702,2,25861
2080305,166610,4,27850
56944,67740,81,35887
1036662,10934,97,38693
1671127,127206,19,16349
480111,66766,30,6522
1508398,160021,13,16953
909334,194140,3,3740
805995,23643,5,5785
2573157,6468,11,23543
3020912,107593,14,5069
2932806,202270,42,23734
1263838,132803,37,22124
1450569,9430,2,26916
2359459,81600,4,33884
3265788,44848,20,3682
1445820,48992,52,45681
2225165,471,1,45200
2899805,204058,34,5450
1359061,146502,12,32338
2481858,194528,23,37754
3079149,191588,5,21903
262790,104601,50,15902
1435249,43913,8,45453
127056,26495,6,25513
155802,83029,3,28157
3258525,199666,10,28986
2843588,108509,7,38777
2752624,36495,5,26901
1927802,70741,5,22832
3110940,204701,15,9358
2411061,88408,12,47258
25463,5712,18,48679
1118265,167147,31,23621
1241085,148468,42,13646
642069,126094,3,43743
1133318,153491,22,13176
2122427,126760,24,25659
2235613,70941,3,28934
369693,60684,4,15290
1193546,193539,28,8758
1129835,32092,95,39368
185123,36042,22,40063
879448,109825,3,10621
699967,189248,14,2763
3025558,20785,10,33468
2696174,92952,18,24852
1379164,180206,3,15727
2365999,46605,2,6104
3027635,154878,13,33515
212984,31636,8,28769
404641,101348,5,9177
2659314,87357,11,20119
314125,82240,23,40825
659996,52960,4,19173
730092,68590,50,46969
1983566,205603,5,8204
1794085,49934,80,3017
1452690,98531,27,32402
2153479,81182,5,26209
1239995,68325,3,45575
2652686,111136,23,33147
752810,47529,5,38689
897910,24296,1,5460
655215,102094,18,42260
1800145,200852,21,7952
1394923,31310,92,17813
456868,175232,2,28204
1402671,13442,60,15091
441001,112559,63,20682
2424860,205225,3,4966
1575693,98551,5,37687
1570808,124269,29,13851
616440,163074,4,46627
2025959,23832,66,12009
697821,143155,9,37646
1079701,154832,14,25898
1990615,116300,15,15162
5797,180074,56,48473
1129457,53339,33,47766
3290644,142096,8,17461
845525,93293,16,4799
2975123,93059,48,18370
2794376,137428,9,5539
1989826,27183,2,40136
3309590,34075,5,40345
2108991,98678,21,16610
2888276,116328,7,48628
670385,51807,1,1783
989628,188949,11,48885
2135526,42080,17,7952
3382791,198334,4,45603
1877435,172034,32,15683
2873817,24980,14,32433
2068030,204919,38,41319
496866,204841,4,20345
2518111,106804,11,27033
174278,49311,36,32701
967159,97945,5,48595
641252,20700,20,27104
2794152,180974,3,24964
3195074,175353,46,24184
1328880,17663,41,15386
1834561,65325,91,22507
2100960,18236,17,33549
2213150,188566,10,10523
2543783,165002,5,8174
2297281,137629,68,33682
688019,29458,22,12341
2246802,21763,3,42208
963385,156272,10,15872
1045689,142676,5,31683
1203130,21819,69,22025
2185596,131614,2,29709
1313706,188144,3,9387
2186686,118803,1,6046
454908,128017,11,2716
1192972,55179,60,40709
3148782,145634,14,27104
2999658,147834,7,28465
2584225,80252,2,42781
947739,131878,2,27726
84052,7431,31,48781
3302943,113398,4,26165
2614045,50605,11,20114
2650118,135116,2,42768
142642,137274,40,43154
2387239,107767,4,49429
1868688,16693,9,24852
332286,139531,14,5918
2650080,47416,24,17952
2855380,171989,4,35068
1337777,196178,9,21405
2242333,16848,12,1364
715686,18274,6,13176
2300538,112030,11,24852
743063,163658,9,13292
347289,198708,38,47937
3381680,52913,1,27966
1614627,116599,1,717
2674390,140055,10,1244
816085,188878,9,45066
2948404,111663,1,35413
2848274,82505,3,10032
8338,78360,28,40777
1849970,119129,16,12078
1472623,169608,36,18362
2303660,70505,45,20641
3398958,186367,2,17594
3058833,73868,12,5819
1863081,4773,7,10504
1023122,157368,22,31802
608250,201645,12,13838
941526,71778,3,33768
2807903,15773,4,34050
3344939,157676,19,37250
47884,136896,43,33754
322253,139211,58,18370
2442587,198187,16,12409
1092075,174226,25,32134
1697012,135262,10,2513
2259989,93520,2,28599
818248,158083,3,31381
199450,158887,11,35548
1153821,9918,5,43867
2140032,107144,7,13176
3335131,24659,51,1463
379155,187897,3,35803
594348,170741,21,44201
1809778,40553,5,10761
734126,13678,9,32784
3006833,13118,7,40706
755865,190484,36,41950
167704,190288,2,12341
2488799,52573,18,33117
1508212,203017,2,39190
1642830,42246,4,21137
314790,97815,4,5479
868787,1171,22,18441
921825,157707,5,43768
506484,192009,15,8518
350526,61623,17,35665
927763,31552,44,15455
668823,75902,3,31287
2906769,163906,2,14947
2118170,169380,19,10197
278169,158368,1,30340
2922937,175024,5,13083
2175340,104985,19,13249
192421,102976,8,21903
3330642,91263,23,10108
2302370,65604,3,38995
1574652,18747,6,40009
319738,61219,1,13802
1436282,113802,8,8571
1633191,167490,18,35951
2742120,154836,18,25931
525800,138782,8,47766
1126698,94695,3,27796
1346993,185772,9,24852
67999,195111,1,3873
2264061,160258,7,26096
1485018,157368,3,23755
266598,149457,6,1689
2702231,142538,9,26317
1573021,77889,55,44548
1218530,71929,83,27705
52185,151504,5,260
2753421,64958,20,5460
2107495,156937,9,23375
2024144,106302,17,20114
905101,26603,27,11777
90078,11706,1,22281
1566433,42962,9,7694
703500,881,10,24838
2778495,88135,24,11123
1342398,28394,3,8424
2854752,71554,4,29732
37745,28273,1,13740
1988466,31903,34,5994
1786571,24340,32,25931
1962094,195899,25,36956
896617,33890,5,27796
3333970,159338,12,28515
1339896,186913,19,13176
3263089,185164,16,37722
3252851,152788,6,19151
2259318,158740,3,25753
2872067,24736,14,19585
723596,27927,3,27474
1091910,80015,30,36664
894951,67682,12,5633
566500,193477,3,13176
1878196,145304,34,3298
1506892,55827,63,18465
1938344,52157,20,13261
1895199,125780,16,10106
3159266,9104,3,18479
1460080,101781,1,37687
727509,92638,17,17122
85806,22524,63,45064
2662430,137413,15,16953
47633,78144,15,32946
3226249,93219,14,46505
1799417,46852,2,34394
2199825,152529,5,28985
2189237,157871,5,24701
494530,99683,7,46041
332152,148503,4,34658
2551629,44527,33,1215
2686480,23677,4,890
1729132,119172,6,27344
961241,163102,55,21938
2233801,29275,27,34509
3032233,79236,8,41844
3214810,35002,13,1065
281146,29526,2,630
3233843,54172,15,20995
2195967,180778,1,33033
550808,19177,1,43961
1152233,156223,2,28289
1883035,85885,2,38400
2556906,83576,2,22268
2370375,154429,52,14645
1519434,130100,5,21614
856124,97169,12,9124
790164,112046,7,12204
1675646,102587,6,10421
1654834,113928,21,39275
2443948,42282,2,22935
1178847,92973,14,42701
1818945,47378,7,44987
3010135,181970,3,31717
1089740,14952,30,4289
2534614,24066,7,25133
2843040,26370,19,15011
2842389,145052,33,17553
1655304,30684,2,7806
2746340,36400,74,18531
2071965,205354,3,49683
2681176,168295,1,38293
2567370,36912,11,7628
1080648,73105,38,42736
2304773,1683,24,37646
448623,191284,3,23082
3261180,70669,43,9493
1028572,222,59,1563
1674452,194452,20,37220
1471096,9357,16,27451
1295847,198897,18,13042
685168,94346,33,13062
748323,33552,26,19436
1505571,109311,8,6740
1910130,204801,19,14947
2583298,169638,15,19678
3129304,32630,2,46667
1618444,66635,16,18465
1497194,142216,26,24954
131632,20809,14,6878
2214190,118813,1,30949
3117860,43305,26,34308
1036799,71013,10,26209
1985201,26439,8,25043
1195986,190932,2,47625
2849097,115578,11,2450
548687,175024,26,5450
2933859,197448,13,24852
1828531,53778,36,9397
2222123,7696,2,40256
2222203,159375,11,22489
3312738,201839,2,33768
362749,55531,14,44156
330988,44131,7,26932
2634546,162613,4,49683
1439418,3312,2,27104
34944,186348,6,21115
1590685,126109,19,42936
1037357,180167,26,5479
168017,73478,23,21903
2601961,68138,37,24830
2603862,180333,1,29669
2426897,27077,20,24489
2738415,178756,12,13269
2549435,115064,5,26221
732526,97550,25,6933
155754,20891,12,43182
2291096,2201,8,34358
2586635,6861,8,27336
431890,195868,71,22524
3097460,105479,14,6184
1972860,178558,29,35233
2631512,91268,22,18072
391899,198570,2,35948
3152019,75180,4,18963
544204,13990,22,21137
3050316,175530,8,47993
3005850,152110,10,8590
2283422,127641,7,21288
3406871,53360,38,31770
111587,185208,29,46667
1956947,5551,8,33731
2918574,25042,27,40925
661436,95017,7,33376
1143129,12680,1,36183
2403725,17275,20,40268
2745256,78039,57,17419
2550034,119761,40,16797
421261,168732,9,44290
2697176,20698,3,34969
3227804,139016,4,4966
413088,112946,7,47734
346223,32750,1,18963
171032,34290,7,47626
1967420,105177,42,22124
1731587,33250,25,3583
2424257,133197,16,2002
543647,38476,9,47766
1395758,124130,23,13949
2414517,112388,2,5287
3292505,43040,8,44514
271031,185724,47,45613
248205,109329,79,45104
1041842,187681,3,42110
409783,97520,35,35221
1818598,25638,58,5194
959253,42264,2,18610
3168375,79294,2,7677
3009596,157606,1,19477
511738,163963,2,24852
3020383,184839,5,18523
99615,130699,4,37096
1536270,161852,25,20734
2453423,27679,64,19660
2057440,190615,8,31766
2821271,139855,5,26587
2340705,37150,6,23029
453464,84446,3,37065
596534,94682,2,5296
992101,118658,5,2091
3152842,194042,40,47626
1094551,147873,22,2482
1189144,201888,4,4966
1374482,65641,16,34329
1016758,195608,58,24179
616074,73080,69,8518
544012,71767,33,30975
2892410,64083,3,27627
2583054,22795,12,2132
670020,13300,1,2813
2880932,26403,8,23662
2964235,46126,27,21137
2365482,90731,20,22935
2744402,112975,2,45748
1747704,1150,41,19180
2608779,81991,6,43920
1032572,107888,21,27845
2067156,33464,5,39993
189800,27965,5,24852
3188392,140925,5,35842
810457,146644,25,38383
2749389,193038,17,44397
442486,26164,54,11005
2615918,204277,14,31964
1994111,166990,5,23543
1361872,112144,14,26604
3355307,114036,28,44781
3116568,110961,14,31612
2981088,120116,28,30135
2856205,18325,28,21709
1980732,171302,2,43182
2884817,132274,59,27966
943916,46070,17,7026
1739912,40388,6,30717
1715992,35456,38,22963
700032,9529,3,8529
2203899,188191,11,45013
281772,132919,8,37489
223517,173746,20,30391
2295765,121279,10,33320
3131900,94438,15,30949
3265121,92952,20,7503
852427,97233,6,16262
751303,170585,4,40872
475606,33873,2,16020
231137,18877,10,45763
467018,101215,8,28342
56206,60122,26,13721
2223558,83711,14,21709
390411,63815,8,22035
1480713,48604,3,2535
103193,51906,48,20315
2663734,192387,2,3996
2117101,147372,13,24830
1070623,106351,28,37065
657667,176549,11,27845
2587311,9755,13,8277
1009087,10497,18,28199
2388922,72592,35,34126
2709162,149899,7,10749
1336969,4072,44,24964
1410906,159704,9,19097
2034127,148861,88,44422
135523,141528,10,14553
239639,172274,4,19505
1512956,153343,7,26795
940890,140791,1,25010
1023903,158001,52,24852
3269115,153249,34,38383
503764,143380,2,13578
2468267,197381,43,11158
3335675,19918,51,39947
1903415,192619,23,23909
1467759,101624,37,18531
1239379,26125,42,18814
1712339,117428,20,21333
2308251,37893,11,47843
901355,155167,25,8324
335685,91812,56,34565
2691089,131106,10,26683
2365515,111593,18,46603
1927025,5131,5,4451
2714813,185077,15,13870
2098275,167435,1,28934
2255496,25857,4,9092
1313910,138889,9,9124
2017626,195371,12,25305
2300355,6463,19,13083
2813233,66297,4,3376
2997700,136248,14,17794
2846166,38807,7,35986
2399081,108110,28,35140
2263736,13432,23,31506
2670955,133915,43,7021
3230481,190456,38,9138
398947,173146,12,45535
1073909,79772,14,37940
2085147,59115,10,8518
759238,53596,7,2452
2590432,184763,25,4639
424293,86247,25,44910
177783,136855,7,44359
2948572,47031,2,10749
2565,62224,2,18998
1804146,94249,10,31772
2795771,30850,2,19706
1951694,108276,1,24852
2229783,181129,16,44628
251918,29695,24,40531
612053,26720,8,8467
646358,65838,12,32465
1826245,20306,38,44632
1455342,71598,19,19057
499313,94648,15,39408
2740953,190279,12,24852
1510285,13096,8,17619
916899,66235,45,39001
2632723,28268,32,30901
1644948,154380,23,37825
2436014,173144,7,36551
3324454,93212,55,27012
156059,100554,1,29346
889998,143062,3,10005
2829475,20611,35,13176
3395284,202984,45,11707
753071,34799,11,36483
1678720,71234,1,3835
3149180,180829,16,42176
546187,197255,42,26800
3267462,143487,10,13643
2272271,31096,21,35168
1861071,1336,3,27429
1519179,68702,23,40709
2624510,73168,32,4796
2828967,173437,22,32156
3300925,168904,14,35199
1027861,23449,23,14285
2421170,40637,11,12253
2696359,13701,12,39190
2459996,110382,34,30661
1636820,59595,3,21385
782323,148441,5,27845
577029,196613,14,7649
362475,121320,7,26209
3397939,80687,3,34745
628545,100916,25,24253
1933186,53219,24,19678
2537019,97782,2,27521
1002853,67706,1,35914
1869433,98453,43,13176
2531705,164740,1,19612
957551,40748,18,30064
2076444,27429,8,10482
1496739,198960,36,1377
432216,62864,3,3952
1741303,179090,60,13176
1143858,63490,2,4605
884719,43656,11,13083
778216,44630,2,36194
3295060,157933,6,18813
293641,162343,1,38200
1643281,124648,12,432
2777610,169442,34,8174
262871,138311,86,25804
2081362,93053,2,21903
2196785,132872,8,22227
530978,14240,39,43182
2289331,174328,7,20869
993304,200365,20,29077
2831045,87340,75,27156
2445991,47480,10,24129
2590454,185455,3,44987
2767700,115595,47,13176
1427325,136122,3,49441
1327854,165704,52,21137
2205119,53545,17,40216
1432669,147546,19,43352
1627511,28897,17,42803
2215465,153939,36,30257
1619855,81479,11,38544
1926327,180342,29,24838
1885530,91606,88,43867
491474,57040,11,48142
433398,64309,1,23037
2795196,134154,13,16525
1167437,66479,53,8861
1084570,90626,7,44372
283731,48869,17,49235
28883,127135,6,23729
2029252,129812,3,41540
129253,108958,27,24184
2827368,72387,1,19953
2322545,167977,15,6873
